year,annual_births,mean_annual_house_price,mean_annual_hpi
2006,23399,145641.78340476553,89.63737033190753
2007,24505,202198.16569621177,124.4458247848581
2008,25437,167044.94078469474,102.81025725684228
2009,24945,133799.45791121147,82.34883752874507
2010,25488,124657.31573919576,76.72217212859408
2011,25184,109574.8583706535,67.43945267093721
2012,25273,97339.86282678552,59.90924532977223
2013,24068,94564.8897708368,58.2013474884924
2014,24395,101843.61618305868,62.68114634637723
2015,24262,109245.09123170076,67.23649265172726
2016,24056,116375.4585273485,71.62498171675202
2017,23175,120765.1219826895,74.3266644315626
2018,22817,126283.85996189126,77.72325261142322
2019,22429,130685.10980527726,80.43206633858294
2020,21455,135508.77388842124,83.40086110111237
2021,21892,147058.25397503524,90.50915790620984
2022,20518,161847.7159369985,99.61154904632534
2023,19869,166237.52775908622,102.31332307562508
2024,19225,176816.25607309124,108.82415647353616
2025,18995,189722.825865545,116.76769402955138
