year,annual_births,mean_annual_house_price,mean_annual_hpi,house_price_lag1,house_price_lag2,house_price_lag3,house_price_lag4,hpi_lag1,hpi_lag2,hpi_lag3,hpi_lag4
2006,23399,145641.78340476553,89.63737033190753,NA,NA,NA,NA,NA,NA,NA,NA
2007,24505,202198.16569621177,124.4458247848581,145641.78340476553,NA,NA,NA,89.63737033190753,NA,NA,NA
2008,25437,167044.94078469474,102.81025725684228,202198.16569621177,145641.78340476553,NA,NA,124.4458247848581,89.63737033190753,NA,NA
2009,24945,133799.45791121147,82.34883752874507,167044.94078469474,202198.16569621177,145641.78340476553,NA,102.81025725684228,124.4458247848581,89.63737033190753,NA
2010,25488,124657.31573919576,76.72217212859408,133799.45791121147,167044.94078469474,202198.16569621177,145641.78340476553,82.34883752874507,102.81025725684228,124.4458247848581,89.63737033190753
2011,25184,109574.8583706535,67.43945267093721,124657.31573919576,133799.45791121147,167044.94078469474,202198.16569621177,76.72217212859408,82.34883752874507,102.81025725684228,124.4458247848581
2012,25273,97339.86282678552,59.90924532977223,109574.8583706535,124657.31573919576,133799.45791121147,167044.94078469474,67.43945267093721,76.72217212859408,82.34883752874507,102.81025725684228
2013,24068,94564.8897708368,58.2013474884924,97339.86282678552,109574.8583706535,124657.31573919576,133799.45791121147,59.90924532977223,67.43945267093721,76.72217212859408,82.34883752874507
2014,24395,101843.61618305868,62.68114634637723,94564.8897708368,97339.86282678552,109574.8583706535,124657.31573919576,58.2013474884924,59.90924532977223,67.43945267093721,76.72217212859408
2015,24262,109245.09123170076,67.23649265172726,101843.61618305868,94564.8897708368,97339.86282678552,109574.8583706535,62.68114634637723,58.2013474884924,59.90924532977223,67.43945267093721
2016,24056,116375.4585273485,71.62498171675202,109245.09123170076,101843.61618305868,94564.8897708368,97339.86282678552,67.23649265172726,62.68114634637723,58.2013474884924,59.90924532977223
2017,23175,120765.1219826895,74.3266644315626,116375.4585273485,109245.09123170076,101843.61618305868,94564.8897708368,71.62498171675202,67.23649265172726,62.68114634637723,58.2013474884924
2018,22817,126283.85996189126,77.72325261142322,120765.1219826895,116375.4585273485,109245.09123170076,101843.61618305868,74.3266644315626,71.62498171675202,67.23649265172726,62.68114634637723
2019,22429,130685.10980527726,80.43206633858294,126283.85996189126,120765.1219826895,116375.4585273485,109245.09123170076,77.72325261142322,74.3266644315626,71.62498171675202,67.23649265172726
2020,21455,135508.77388842124,83.40086110111237,130685.10980527726,126283.85996189126,120765.1219826895,116375.4585273485,80.43206633858294,77.72325261142322,74.3266644315626,71.62498171675202
2021,21892,147058.25397503524,90.50915790620984,135508.77388842124,130685.10980527726,126283.85996189126,120765.1219826895,83.40086110111237,80.43206633858294,77.72325261142322,74.3266644315626
2022,20518,161847.7159369985,99.61154904632534,147058.25397503524,135508.77388842124,130685.10980527726,126283.85996189126,90.50915790620984,83.40086110111237,80.43206633858294,77.72325261142322
2023,19869,166237.52775908622,102.31332307562508,161847.7159369985,147058.25397503524,135508.77388842124,130685.10980527726,99.61154904632534,90.50915790620984,83.40086110111237,80.43206633858294
2024,19225,176816.25607309124,108.82415647353616,166237.52775908622,161847.7159369985,147058.25397503524,135508.77388842124,102.31332307562508,99.61154904632534,90.50915790620984,83.40086110111237
2025,18995,189722.825865545,116.76769402955138,176816.25607309124,166237.52775908622,161847.7159369985,147058.25397503524,108.82415647353616,102.31332307562508,99.61154904632534,90.50915790620984
