quarter_start_date,year,quarter,quarter_num,quarterly_births,ni_house_price_index,standardised_price,quarterly_change_decimal,annual_change_decimal
2006-01-01,2006,Q1,1,5486,76.47657517979955,124258.272600282,0.028415468060412,0.17317503375475815
2006-04-01,2006,Q2,2,5803,83.82483485897654,136197.64164506705,0.0960851039929669,0.2406313375791144
2006-07-01,2006,Q3,3,6186,93.50000220095876,151917.74388823003,0.11542125144963668,0.30103092013253163
2006-10-01,2006,Q4,4,5924,104.74806908789532,170193.475485483,0.1203001777771213,0.40859517108588417
2007-01-01,2007,Q1,1,5818,115.87821193115556,188277.60543307,0.10625630563099736,0.5152118365489189
2007-04-01,2007,Q2,2,5922,126.24612154048064,205123.267460976,0.08947246800360346,0.5060706263587865
2007-07-01,2007,Q3,3,6529,130.85849415793436,212617.398215213,0.0365347668599448,0.39955605430555313
2007-10-01,2007,Q4,4,6236,124.8004715098619,202774.391675588,-0.04629445483883515,0.19143457818912513
2008-01-01,2008,Q1,1,6224,115.5353657794423,187720.552891434,-0.07423934876469959,-0.00295867657948445
2008-04-01,2008,Q2,2,6238,108.2448751408726,175875.04632909902,-0.06310180947093981,-0.14258851028414346
2008-07-01,2008,Q3,3,6533,97.89542714751497,159059.380525582,-0.09561143638337254,-0.2518985658709779
2008-10-01,2008,Q4,4,6442,89.56536095953928,145524.783392664,-0.08509147394007904,-0.282331549905549
2009-01-01,2009,Q1,1,6091,81.65331221389509,132669.37626242096,-0.08833826672365463,-0.29326131732017235
2009-04-01,2009,Q2,2,6211,82.40975335925562,133898.433262232,0.00926405953231865,-0.23867293253370656
2009-07-01,2009,Q3,3,6366,82.62834573771453,134253.599681322,0.00265250616035677,-0.15595295770858666
2009-10-01,2009,Q4,4,6277,82.703938804115,134376.42243887097,9.148563453082528e-4,-0.07660798864556459
2010-01-01,2010,Q1,1,6176,79.03900474066926,128421.67910933404,-0.04431389987514585,-0.03201716381544353
2010-04-01,2010,Q2,2,6164,78.34785162550841,127298.701361046,-0.00874445620144826,-0.04928908980032768
2010-07-01,2010,Q3,3,6535,76.97832136582946,125073.504116773,-0.01748012525250996,-0.06837876665012542
2010-10-01,2010,Q4,4,6613,72.52351078236919,117835.37836963002,-0.05787097593735987,-0.1230948388789347
2011-01-01,2011,Q1,1,6185,69.32517376991541,112638.75664034,-0.04410069200940157,-0.12289920657054564
2011-04-01,2011,Q2,2,6093,68.2293114927992,110858.21203250198,-0.01580756624935826,-0.12914891631074196
2011-07-01,2011,Q3,3,6614,67.04432189854722,108932.854369913,-0.01736774955404665,-0.1290493127288681
2011-10-01,2011,Q4,4,6292,65.159003522487,105869.610439859,-0.02812047795655427,-0.10154648031287168
2012-01-01,2012,Q1,1,6234,60.9891078125592,99094.4111501315,-0.0639956949078991,-0.12024587179576258
2012-04-01,2012,Q2,2,6191,61.14931590666676,99354.7154457094,0.00262683124665366,-0.1037676539778604
2012-07-01,2012,Q3,3,6455,59.45961064146922,96609.3014811925,-0.02763244756125423,-0.11312980789865155
2012-10-01,2012,Q4,4,6393,58.038946958393765,94301.0232301087,-0.02389291937415803,-0.10927202963802282
2013-01-01,2013,Q1,1,5805,56.74693619524904,92201.7787852327,-0.02226109932819636,-0.06955621699448086
2013-04-01,2013,Q2,2,5876,57.795933173232385,93906.17718618982,0.01848552623835165,-0.05483925181685921
2013-07-01,2013,Q3,3,6456,58.923105552540065,95737.59409321308,0.01950262444814575,-0.0090230171900079
2013-10-01,2013,Q4,4,5931,59.33941503294812,96414.0090187116,0.00706530106490808,0.02240681719271398
2014-01-01,2014,Q1,1,5857,60.324215239858766,98014.1012336077,0.01659605519137389,0.0630391574322425
2014-04-01,2014,Q2,2,5943,62.33980403400293,101289.007062537,0.0334125986741784,0.07861921438574485
2014-07-01,2014,Q3,3,6474,63.55450042235985,103262.631987504,0.01948508512626021,0.07860065803371655
2014-10-01,2014,Q4,4,6121,64.5060656892874,104808.724448586,0.01497242934180573,0.08706945718070365
2015-01-01,2015,Q1,1,5704,64.61673605209612,104988.540399789,0.00171565823502235,0.07115750773001517
2015-04-01,2015,Q2,2,5891,66.5971729454639,108206.331818732,0.0306489775616504,0.06829294665634195
2015-07-01,2015,Q3,3,6475,68.56319297662952,111400.698883364,0.02952107340615781,0.0788094080038981
2015-10-01,2015,Q4,4,6192,69.16886863271952,112384.793824918,0.00883383094915738,0.072284720725209
2016-01-01,2016,Q1,1,5744,69.22433758990198,112474.919157887,8.01935296599841e-4,0.0713066276527967
2016-04-01,2016,Q2,2,5967,71.78620084356034,116637.4055374,0.03700812955170939,0.07791663922950169
2016-07-01,2016,Q3,3,6289,72.64900478440752,118039.279601848,0.0120190779106342,0.0595919126632666
2016-10-01,2016,Q4,4,6056,72.84038364913825,118350.229812259,0.00263429437607104,0.05308045496470585
2017-01-01,2017,Q1,1,5638,72.68118630953501,118091.567779144,-0.0021855642656973,0.04993689849532476
2017-04-01,2017,Q2,2,5595,74.07481482501738,120355.919596328,0.01917454277021819,0.03188097370474439
2017-07-01,2017,Q3,3,6086,75.06463450538452,121964.167394807,0.01336243205879525,0.03325069253385637
2017-10-01,2017,Q4,4,5856,75.48602208631351,122648.833160479,0.00561366326107624,0.03632103930038217
2018-01-01,2018,Q1,1,5368,75.8880825019512,123302.096367032,0.00532628961661221,0.04412278273442937
2018-04-01,2018,Q2,2,5715,76.9384179416575,125008.669485427,0.01384058478061158,0.03865825548676218
2018-07-01,2018,Q3,3,6025,78.40869145982639,127397.553234314,0.01910974461788116,0.04454903399552279
2018-10-01,2018,Q4,4,5709,79.65781854225776,129427.12076079202,0.01593097728293778,0.05526581399631921
2019-01-01,2019,Q1,1,5424,78.8830639136432,128168.30822094702,-0.00972603371260485,0.03946576738995862
2019-04-01,2019,Q2,2,5489,79.77204843571145,129612.720197044,0.01126965001057092,0.03682985132606566
