date,year,month_num,birth_month,births
2006-01-01,2006,1,January,1838
2006-02-01,2006,2,February,1751
2006-03-01,2006,3,March,1897
2006-04-01,2006,4,April,1860
2006-05-01,2006,5,May,2002
2006-06-01,2006,6,June,1941
2006-07-01,2006,7,July,2069
2006-08-01,2006,8,August,2050
2006-09-01,2006,9,September,2067
2006-10-01,2006,10,October,2048
2006-11-01,2006,11,November,1951
2006-12-01,2006,12,December,1925
2007-01-01,2007,1,January,2007
2007-02-01,2007,2,February,1800
2007-03-01,2007,3,March,2011
2007-04-01,2007,4,April,1951
2007-05-01,2007,5,May,2020
2007-06-01,2007,6,June,1951
2007-07-01,2007,7,July,2153
2007-08-01,2007,8,August,2228
2007-09-01,2007,9,September,2148
2007-10-01,2007,10,October,2160
2007-11-01,2007,11,November,1988
2007-12-01,2007,12,December,2088
2008-01-01,2008,1,January,2198
2008-02-01,2008,2,February,1946
2008-03-01,2008,3,March,2080
2008-04-01,2008,4,April,2108
2008-05-01,2008,5,May,2065
2008-06-01,2008,6,June,2065
2008-07-01,2008,7,July,2193
2008-08-01,2008,8,August,2156
2008-09-01,2008,9,September,2184
2008-10-01,2008,10,October,2283
2008-11-01,2008,11,November,2025
2008-12-01,2008,12,December,2134
2009-01-01,2009,1,January,2056
2009-02-01,2009,2,February,1877
2009-03-01,2009,3,March,2158
2009-04-01,2009,4,April,2122
2009-05-01,2009,5,May,2006
2009-06-01,2009,6,June,2083
2009-07-01,2009,7,July,2158
2009-08-01,2009,8,August,2037
2009-09-01,2009,9,September,2171
2009-10-01,2009,10,October,2075
2009-11-01,2009,11,November,2060
2009-12-01,2009,12,December,2142
2010-01-01,2010,1,January,2145
2010-02-01,2010,2,February,1884
2010-03-01,2010,3,March,2147
2010-04-01,2010,4,April,2034
2010-05-01,2010,5,May,2060
2010-06-01,2010,6,June,2070
2010-07-01,2010,7,July,2255
2010-08-01,2010,8,August,2082
2010-09-01,2010,9,September,2198
2010-10-01,2010,10,October,2201
2010-11-01,2010,11,November,2166
2010-12-01,2010,12,December,2246
2011-01-01,2011,1,January,2118
2011-02-01,2011,2,February,1957
2011-03-01,2011,3,March,2110
2011-04-01,2011,4,April,2009
2011-05-01,2011,5,May,2067
2011-06-01,2011,6,June,2017
2011-07-01,2011,7,July,2231
2011-08-01,2011,8,August,2165
2011-09-01,2011,9,September,2218
2011-10-01,2011,10,October,2066
2011-11-01,2011,11,November,2101
2011-12-01,2011,12,December,2125
2012-01-01,2012,1,January,2124
2012-02-01,2012,2,February,1966
2012-03-01,2012,3,March,2144
2012-04-01,2012,4,April,2038
2012-05-01,2012,5,May,2141
2012-06-01,2012,6,June,2012
2012-07-01,2012,7,July,2100
2012-08-01,2012,8,August,2111
2012-09-01,2012,9,September,2244
2012-10-01,2012,10,October,2198
2012-11-01,2012,11,November,2132
2012-12-01,2012,12,December,2063
2013-01-01,2013,1,January,2053
2013-02-01,2013,2,February,1858
2013-03-01,2013,3,March,1894
2013-04-01,2013,4,April,1939
2013-05-01,2013,5,May,2053
2013-06-01,2013,6,June,1884
2013-07-01,2013,7,July,2216
2013-08-01,2013,8,August,2086
2013-09-01,2013,9,September,2154
2013-10-01,2013,10,October,2019
2013-11-01,2013,11,November,1910
2013-12-01,2013,12,December,2002
2014-01-01,2014,1,January,2079
