quarter_start_date,year,quarter,quarter_num,quarterly_births
2006-01-01,2006,Q1,1,5486
2006-04-01,2006,Q2,2,5803
2006-07-01,2006,Q3,3,6186
2006-10-01,2006,Q4,4,5924
2007-01-01,2007,Q1,1,5818
2007-04-01,2007,Q2,2,5922
2007-07-01,2007,Q3,3,6529
2007-10-01,2007,Q4,4,6236
2008-01-01,2008,Q1,1,6224
2008-04-01,2008,Q2,2,6238
2008-07-01,2008,Q3,3,6533
2008-10-01,2008,Q4,4,6442
2009-01-01,2009,Q1,1,6091
2009-04-01,2009,Q2,2,6211
2009-07-01,2009,Q3,3,6366
2009-10-01,2009,Q4,4,6277
2010-01-01,2010,Q1,1,6176
2010-04-01,2010,Q2,2,6164
2010-07-01,2010,Q3,3,6535
2010-10-01,2010,Q4,4,6613
2011-01-01,2011,Q1,1,6185
2011-04-01,2011,Q2,2,6093
2011-07-01,2011,Q3,3,6614
2011-10-01,2011,Q4,4,6292
2012-01-01,2012,Q1,1,6234
2012-04-01,2012,Q2,2,6191
2012-07-01,2012,Q3,3,6455
2012-10-01,2012,Q4,4,6393
2013-01-01,2013,Q1,1,5805
2013-04-01,2013,Q2,2,5876
2013-07-01,2013,Q3,3,6456
2013-10-01,2013,Q4,4,5931
2014-01-01,2014,Q1,1,5857
2014-04-01,2014,Q2,2,5943
2014-07-01,2014,Q3,3,6474
2014-10-01,2014,Q4,4,6121
2015-01-01,2015,Q1,1,5704
2015-04-01,2015,Q2,2,5891
2015-07-01,2015,Q3,3,6475
2015-10-01,2015,Q4,4,6192
2016-01-01,2016,Q1,1,5744
2016-04-01,2016,Q2,2,5967
2016-07-01,2016,Q3,3,6289
2016-10-01,2016,Q4,4,6056
2017-01-01,2017,Q1,1,5638
2017-04-01,2017,Q2,2,5595
2017-07-01,2017,Q3,3,6086
2017-10-01,2017,Q4,4,5856
2018-01-01,2018,Q1,1,5368
2018-04-01,2018,Q2,2,5715
2018-07-01,2018,Q3,3,6025
2018-10-01,2018,Q4,4,5709
2019-01-01,2019,Q1,1,5424
2019-04-01,2019,Q2,2,5489
2019-07-01,2019,Q3,3,5940
2019-10-01,2019,Q4,4,5576
2020-01-01,2020,Q1,1,5332
2020-04-01,2020,Q2,2,5155
2020-07-01,2020,Q3,3,5638
2020-10-01,2020,Q4,4,5330
2021-01-01,2021,Q1,1,5266
2021-04-01,2021,Q2,2,5218
2021-07-01,2021,Q3,3,5874
2021-10-01,2021,Q4,4,5534
2022-01-01,2022,Q1,1,5052
2022-04-01,2022,Q2,2,4996
2022-07-01,2022,Q3,3,5378
2022-10-01,2022,Q4,4,5092
2023-01-01,2023,Q1,1,4821
2023-04-01,2023,Q2,2,4762
2023-07-01,2023,Q3,3,5205
2023-10-01,2023,Q4,4,5081
2024-01-01,2024,Q1,1,4758
2024-04-01,2024,Q2,2,4721
2024-07-01,2024,Q3,3,5020
2024-10-01,2024,Q4,4,4726
2025-01-01,2025,Q1,1,4526
2025-04-01,2025,Q2,2,4775
2025-07-01,2025,Q3,3,4913
2025-10-01,2025,Q4,4,4781
