quarter_start_date,year,quarter,quarter_num,he_pct,fe_pct,total_girls,he_at_conception,fe_at_conception,is_edu_covid_grading
2006-10-01,2006,Q4,4,44.55,30.625,12421,44.3,30.9,0
2007-01-01,2007,Q1,1,44.8,30.35,12351,44.3,30.9,0
2007-04-01,2007,Q2,2,45.05,30.075,12281,44.3,30.9,0
2007-07-01,2007,Q3,3,45.3,29.8,12211,44.55,30.625,0
2007-10-01,2007,Q4,4,45.8,29.8,12147,44.8,30.35,0
2008-01-01,2008,Q1,1,46.3,29.8,12083,45.05,30.075,0
2008-04-01,2008,Q2,2,46.8,29.8,12019,45.3,29.8,0
2008-07-01,2008,Q3,3,47.3,29.8,11955,45.8,29.8,0
2008-10-01,2008,Q4,4,47.675,30.475,11884,46.3,29.8,0
2009-01-01,2009,Q1,1,48.05,31.15,11813,46.8,29.8,0
2009-04-01,2009,Q2,2,48.425,31.825,11742,47.3,29.8,0
2009-07-01,2009,Q3,3,48.8,32.5,11671,47.675,30.475,0
2009-10-01,2009,Q4,4,48.7,32.65,11614.25,48.05,31.15,0
2010-01-01,2010,Q1,1,48.599999999999994,32.8,11557.5,48.425,31.825,0
2010-04-01,2010,Q2,2,48.5,32.95,11500.75,48.8,32.5,0
2010-07-01,2010,Q3,3,48.4,33.1,11444,48.7,32.65,0
2010-10-01,2010,Q4,4,48.375,32.675,11411.25,48.599999999999994,32.8,0
2011-01-01,2011,Q1,1,48.349999999999994,32.25,11378.5,48.5,32.95,0
2011-04-01,2011,Q2,2,48.325,31.825,11345.75,48.4,33.1,0
2011-07-01,2011,Q3,3,48.3,31.4,11313,48.375,32.675,0
2011-10-01,2011,Q4,4,48.599999999999994,31.875,11273,48.349999999999994,32.25,0
2012-01-01,2012,Q1,1,48.9,32.349999999999994,11233,48.325,31.825,0
2012-04-01,2012,Q2,2,49.2,32.824999999999996,11193,48.3,31.4,0
2012-07-01,2012,Q3,3,49.5,33.3,11153,48.599999999999994,31.875,0
2012-10-01,2012,Q4,4,49.3,33.275,11178.5,48.9,32.349999999999994,0
2013-01-01,2013,Q1,1,49.1,33.25,11204,49.2,32.824999999999996,0
2013-04-01,2013,Q2,2,48.900000000000006,33.225,11229.5,49.5,33.3,0
2013-07-01,2013,Q3,3,48.7,33.2,11255,49.3,33.275,0
2013-10-01,2013,Q4,4,48.55,33.45,11192.25,49.1,33.25,0
2014-01-01,2014,Q1,1,48.400000000000006,33.7,11129.5,48.900000000000006,33.225,0
2014-04-01,2014,Q2,2,48.25,33.95,11066.75,48.7,33.2,0
2014-07-01,2014,Q3,3,48.1,34.2,11004,48.55,33.45,0
2014-10-01,2014,Q4,4,48.625,33.825,10995,48.400000000000006,33.7,0
2015-01-01,2015,Q1,1,49.150000000000006,33.45,10986,48.25,33.95,0
2015-04-01,2015,Q2,2,49.675,33.075,10977,48.1,34.2,0
2015-07-01,2015,Q3,3,50.2,32.7,10968,48.625,33.825,0
2015-10-01,2015,Q4,4,50.225,32.550000000000004,11022,49.150000000000006,33.45,0
2016-01-01,2016,Q1,1,50.25,32.400000000000006,11076,49.675,33.075,0
2016-04-01,2016,Q2,2,50.275,32.25,11130,50.2,32.7,0
2016-07-01,2016,Q3,3,50.3,32.1,11184,50.225,32.550000000000004,0
2016-10-01,2016,Q4,4,50.5,32.075,11087.5,50.25,32.400000000000006,0
2017-01-01,2017,Q1,1,50.7,32.05,10991,50.275,32.25,0
2017-04-01,2017,Q2,2,50.9,32.025,10894.5,50.3,32.1,0
2017-07-01,2017,Q3,3,51.1,32,10798,50.5,32.075,0
2017-10-01,2017,Q4,4,51,32.1,10693.75,50.7,32.05,0
2018-01-01,2018,Q1,1,50.900000000000006,32.2,10589.5,50.9,32.025,0
2018-04-01,2018,Q2,2,50.8,32.3,10485.25,51.1,32,0
2018-07-01,2018,Q3,3,50.7,32.4,10381,51,32.1,0
2018-10-01,2018,Q4,4,50.325,32.175,10450.75,50.900000000000006,32.2,0
2019-01-01,2019,Q1,1,49.95,31.95,10520.5,50.8,32.3,0
2019-04-01,2019,Q2,2,49.575,31.725,10590.25,50.7,32.4,0
2019-07-01,2019,Q3,3,49.2,31.5,10660,50.325,32.175,0
2019-10-01,2019,Q4,4,50.85,30.5,10543.75,49.95,31.95,0
2020-01-01,2020,Q1,1,52.5,29.5,10427.5,49.575,31.725,1
2020-04-01,2020,Q2,2,54.15,28.5,10311.25,49.2,31.5,1
2020-07-01,2020,Q3,3,55.8,27.5,10195,50.85,30.5,1
2020-10-01,2020,Q4,4,55.925,27.175,10278,52.5,29.5,1
2021-01-01,2021,Q1,1,56.05,26.85,10361,54.15,28.5,1
2021-04-01,2021,Q2,2,56.175,26.525,10444,55.8,27.5,1
2021-07-01,2021,Q3,3,56.3,26.2,10527,55.925,27.175,1
2021-10-01,2021,Q4,4,54.974999999999994,26.425,10732,56.05,26.85,1
