quarter_start_date,year,quarter,quarter_num,emp_rate
2006-01-01,2006,Q1,1,61
2006-04-01,2006,Q2,2,61.8
2006-07-01,2006,Q3,3,60.9
2006-10-01,2006,Q4,4,61.8
2007-01-01,2007,Q1,1,62.6
2007-04-01,2007,Q2,2,62
2007-07-01,2007,Q3,3,61.7
2007-10-01,2007,Q4,4,61.6
2008-01-01,2008,Q1,1,62
2008-04-01,2008,Q2,2,62.3
2008-07-01,2008,Q3,3,62.7
2008-10-01,2008,Q4,4,61.7
2009-01-01,2009,Q1,1,59.8
2009-04-01,2009,Q2,2,59.2
2009-07-01,2009,Q3,3,60.1
2009-10-01,2009,Q4,4,60.8
2010-01-01,2010,Q1,1,61.3
2010-04-01,2010,Q2,2,61.6
2010-07-01,2010,Q3,3,61.3
2010-10-01,2010,Q4,4,61.5
2011-01-01,2011,Q1,1,61.8
2011-04-01,2011,Q2,2,63.5
2011-07-01,2011,Q3,3,63.4
2011-10-01,2011,Q4,4,63.7
2012-01-01,2012,Q1,1,63.5
2012-04-01,2012,Q2,2,63
2012-07-01,2012,Q3,3,63.1
2012-10-01,2012,Q4,4,63.7
2013-01-01,2013,Q1,1,63.2
2013-04-01,2013,Q2,2,62.1
2013-07-01,2013,Q3,3,62.2
2013-10-01,2013,Q4,4,63.7
2014-01-01,2014,Q1,1,64.2
2014-04-01,2014,Q2,2,64.3
2014-07-01,2014,Q3,3,64.1
2014-10-01,2014,Q4,4,62.9
2015-01-01,2015,Q1,1,63.4
2015-04-01,2015,Q2,2,63.4
2015-07-01,2015,Q3,3,62.6
2015-10-01,2015,Q4,4,62.6
2016-01-01,2016,Q1,1,63.5
2016-04-01,2016,Q2,2,65.1
2016-07-01,2016,Q3,3,67
2016-10-01,2016,Q4,4,66.2
2017-01-01,2017,Q1,1,65.1
2017-04-01,2017,Q2,2,66.5
2017-07-01,2017,Q3,3,64.2
2017-10-01,2017,Q4,4,65.2
2018-01-01,2018,Q1,1,67
2018-04-01,2018,Q2,2,67.2
2018-07-01,2018,Q3,3,65.6
2018-10-01,2018,Q4,4,67
2019-01-01,2019,Q1,1,68
2019-04-01,2019,Q2,2,69
2019-07-01,2019,Q3,3,68.2
2019-10-01,2019,Q4,4,68.8
2020-01-01,2020,Q1,1,66.9
2020-04-01,2020,Q2,2,65.3
2020-07-01,2020,Q3,3,66
2020-10-01,2020,Q4,4,65
2021-01-01,2021,Q1,1,66.8
2021-04-01,2021,Q2,2,68.6
2021-07-01,2021,Q3,3,68.1
2021-10-01,2021,Q4,4,67.3
2022-01-01,2022,Q1,1,67.1
2022-04-01,2022,Q2,2,66.4
2022-07-01,2022,Q3,3,67.3
2022-10-01,2022,Q4,4,68.4
2023-01-01,2023,Q1,1,68.1
2023-04-01,2023,Q2,2,68.4
2023-07-01,2023,Q3,3,68.7
2023-10-01,2023,Q4,4,69.5
2024-01-01,2024,Q1,1,70
2024-04-01,2024,Q2,2,70.4
2024-07-01,2024,Q3,3,68.9
2024-10-01,2024,Q4,4,68.7
