quarter_start_date,year,quarter,quarter_num,emp_rate,emp_at_conception,emp_momentum_lag3,emp_volatility_lag3,emp_regime_at_conception,is_emp_peak_at_conception
2007-10-01,2007,Q4,4,61.6,62.6,1.6000000000000014,0.6946221994724913,Low_Intensity,0
2008-01-01,2008,Q1,1,62,62,0.20000000000000284,0.7041543391425881,Low_Intensity,0
2008-04-01,2008,Q2,2,62.3,61.7,0.8000000000000043,0.40311288741492796,Low_Intensity,0
2008-07-01,2008,Q3,3,62.7,61.6,-0.19999999999999574,0.4499999999999997,Low_Intensity,0
2008-10-01,2008,Q4,4,61.7,62,-0.6000000000000014,0.20615528128088192,Low_Intensity,0
2009-01-01,2009,Q1,1,59.8,62.3,0.29999999999999716,0.31622776601683567,Low_Intensity,0
2009-04-01,2009,Q2,2,59.2,62.7,1,0.4654746681256316,Low_Intensity,0
2009-07-01,2009,Q3,3,60.1,61.7,0.10000000000000142,0.4272001872658764,Low_Intensity,0
2009-10-01,2009,Q4,4,60.8,59.8,-2.200000000000003,1.2841988423397177,Low_Intensity,0
2010-01-01,2010,Q1,1,61.3,59.2,-3.0999999999999943,1.6299284237863547,Low_Intensity,0
2010-04-01,2010,Q2,2,61.6,60.1,-2.6000000000000014,1.067707825203132,Low_Intensity,0
2010-07-01,2010,Q3,3,61.3,60.8,-0.9000000000000057,0.6652067347825016,Low_Intensity,0
2010-10-01,2010,Q4,4,61.5,61.3,1.5,0.911043357914427,Low_Intensity,0
2011-01-01,2011,Q1,1,61.8,61.6,2.3999999999999986,0.6557438524301996,Low_Intensity,0
2011-04-01,2011,Q2,2,63.5,61.3,1.1999999999999957,0.33166247903554147,Low_Intensity,0
2011-07-01,2011,Q3,3,63.4,61.5,0.7000000000000028,0.15000000000000213,Low_Intensity,0
2011-10-01,2011,Q4,4,63.7,61.8,0.5,0.2081665999466134,Low_Intensity,0
2012-01-01,2012,Q1,1,63.5,63.5,1.8999999999999986,1.0045728777279765,Low_Intensity,0
2012-04-01,2012,Q2,2,63,63.4,2.1000000000000014,1.0472185381603343,Low_Intensity,0
2012-07-01,2012,Q3,3,63.1,63.7,2.200000000000003,0.875595035770915,Low_Intensity,0
2012-10-01,2012,Q4,4,63.7,63.5,1.7000000000000028,0.12583057392118097,Low_Intensity,0
2013-01-01,2013,Q1,1,63.2,63,-0.5,0.29439202887759586,Low_Intensity,0
2013-04-01,2013,Q2,2,62.1,63.1,-0.29999999999999716,0.33040379335998427,Low_Intensity,0
2013-07-01,2013,Q3,3,62.2,63.7,0,0.3304037933599842,Low_Intensity,0
2013-10-01,2013,Q4,4,63.7,63.2,-0.29999999999999716,0.3109126351029615,Low_Intensity,0
2014-01-01,2014,Q1,1,64.2,62.1,-0.8999999999999986,0.6701989754294373,Low_Intensity,0
2014-04-01,2014,Q2,2,64.3,62.2,-0.8999999999999986,0.7788880963698619,Low_Intensity,0
2014-07-01,2014,Q3,3,64.1,63.7,0,0.7788880963698619,Low_Intensity,0
2014-10-01,2014,Q4,4,62.9,64.2,1,1.0598742063723101,Transition,0
2015-01-01,2015,Q1,1,63.4,64.3,2.1999999999999957,0.9695359714832644,Transition,0
2015-04-01,2015,Q2,2,63.4,64.1,1.8999999999999915,0.26299556396765644,Transition,0
2015-07-01,2015,Q3,3,62.6,62.9,-0.8000000000000043,0.6551081335677847,Low_Intensity,0
2015-10-01,2015,Q4,4,62.6,63.4,-0.8000000000000043,0.6448514040717687,Low_Intensity,0
2016-01-01,2016,Q1,1,63.5,63.4,-0.8999999999999986,0.49328828623162285,Low_Intensity,0
2016-04-01,2016,Q2,2,65.1,62.6,-1.499999999999993,0.39475730941089926,Low_Intensity,0
2016-07-01,2016,Q3,3,67,62.6,-0.29999999999999716,0.461880215351699,Low_Intensity,0
2016-10-01,2016,Q4,4,66.2,63.5,0.10000000000000142,0.492442890089804,Low_Intensity,0
2017-01-01,2017,Q1,1,65.1,65.1,1.6999999999999957,1.178982612255156,Transition,0
2017-04-01,2017,Q2,2,66.5,67,4.399999999999999,1.9330459556530628,Transition,0
2017-07-01,2017,Q3,3,64.2,66.2,3.6000000000000014,1.5154757228892415,Transition,0
2017-10-01,2017,Q4,4,65.2,65.1,1.5999999999999943,0.9255628917943248,Transition,0
2018-01-01,2018,Q1,1,67,66.5,1.4000000000000057,0.8041558721209905,Transition,0
2018-04-01,2018,Q2,2,67.2,64.2,-2.799999999999997,1.0551461194229612,Transition,0
2018-07-01,2018,Q3,3,65.6,65.2,-1,0.9469248474227853,Transition,0
2018-10-01,2018,Q4,4,67,67,1.9000000000000057,1.2685293322058668,Transition,0
2019-01-01,2019,Q1,1,68,67.2,0.7000000000000028,1.4468356276140462,Transition,0
2019-04-01,2019,Q2,2,69,65.6,1.3999999999999915,0.9983319421247969,Transition,0
2019-07-01,2019,Q3,3,68.2,67,1.7999999999999972,0.739369100427298,Transition,0
2019-10-01,2019,Q4,4,68.8,68,1,0.9983319421247986,High_Intensity,0
2020-01-01,2020,Q1,1,66.9,69,1.7999999999999972,1.4514360704718186,High_Intensity,0
2020-04-01,2020,Q2,2,65.3,68.2,2.6000000000000085,0.8225975119502045,High_Intensity,0
2020-07-01,2020,Q3,3,66,68.8,1.7999999999999972,0.47609522856952213,High_Intensity,0
2020-10-01,2020,Q4,4,65,66.9,-1.0999999999999943,0.9464847243000424,Transition,0
2021-01-01,2021,Q1,1,66.8,65.3,-3.700000000000003,1.5513435037626797,Transition,0
2021-04-01,2021,Q2,2,68.6,66,-2.200000000000003,1.5154757228892404,Transition,0
2021-07-01,2021,Q3,3,68.1,65,-3.799999999999997,0.8445906306213314,Transition,0
2021-10-01,2021,Q4,4,67.3,66.8,-0.10000000000000853,0.8015609770940693,Transition,0
2022-01-01,2022,Q1,1,67.1,68.6,3.299999999999997,1.5231546211727789,High_Intensity,0
2022-04-01,2022,Q2,2,66.4,68.1,2.0999999999999943,1.607015867998817,High_Intensity,0
2022-07-01,2022,Q3,3,67.3,67.3,2.299999999999997,0.8041558721209864,Transition,0
2022-10-01,2022,Q4,4,68.4,67.1,0.29999999999999716,0.699404508611909,Transition,0
2023-01-01,2023,Q1,1,68.1,66.4,-2.1999999999999886,0.6994045086119052,Transition,0
2023-04-01,2023,Q2,2,68.4,67.3,-0.7999999999999972,0.4272001872658722,Transition,0
2023-07-01,2023,Q3,3,68.7,68.4,1.1000000000000085,0.8286535263104045,High_Intensity,0
2023-10-01,2023,Q4,4,69.5,68.1,1,0.8962886439832486,High_Intensity,0
2024-01-01,2024,Q1,1,70,68.4,2,0.5196152422706669,High_Intensity,0
2024-04-01,2024,Q2,2,70.4,68.7,1.4000000000000057,0.2449489742783213,High_Intensity,0
2024-07-01,2024,Q3,3,68.9,69.5,1.0999999999999943,0.6020797289396157,High_Intensity,1
2024-10-01,2024,Q4,4,68.7,70,1.9000000000000057,0.7325753658611945,High_Intensity,1
