year,mean_annual_house_price,mean_annual_hpi
2005,113322.32981526249,69.74588889985311
2006,145641.78340476553,89.63737033190753
2007,202198.16569621174,124.4458247848581
2008,167044.94078469474,102.81025725684228
2009,133799.45791121147,82.34883752874507
2010,124657.31573919576,76.72217212859408
2011,109574.8583706535,67.43945267093721
2012,97339.86282678552,59.90924532977223
2013,94564.8897708368,58.2013474884924
2014,101843.61618305868,62.68114634637723
2015,109245.09123170075,67.23649265172726
2016,116375.4585273485,71.62498171675202
2017,120765.1219826895,74.3266644315626
2018,126283.85996189126,77.72325261142322
2019,130685.10980527726,80.43206633858294
2020,135508.77388842124,83.40086110111237
2021,147058.25397503524,90.50915790620985
2022,161847.7159369985,99.61154904632534
2023,166237.52775908622,102.31332307562508
2024,176816.25607309124,108.82415647353616
2025,189722.825865545,116.76769402955138
