quarter_start_date,year,quarter,quarter_num,ni_house_price_index,standardised_price,quarterly_change_decimal,annual_change_decimal
2005-01-01,2005,Q1,1,65.18769406048092,105916.226500825,NA,NA
2005-04-01,2005,Q2,2,67.56627236463876,109780.91357166097,0.03648814915819854,NA
2005-07-01,2005,Q3,3,71.8660876956208,116767.20478922599,0.06363848678490036,NA
2005-10-01,2005,Q4,4,74.36350147867195,120824.97439933801,0.03475093556822803,NA
2006-01-01,2006,Q1,1,76.47657517979955,124258.272600282,0.028415468060412008,0.17317503375475815
2006-04-01,2006,Q2,2,83.82483485897654,136197.64164506705,0.0960851039929669,0.24063133757911442
2006-07-01,2006,Q3,3,93.50000220095875,151917.74388823003,0.11542125144963669,0.30103092013253163
2006-10-01,2006,Q4,4,104.74806908789532,170193.475485483,0.1203001777771213,0.40859517108588417
2007-01-01,2007,Q1,1,115.87821193115555,188277.60543306998,0.10625630563099735,0.5152118365489189
2007-04-01,2007,Q2,2,126.24612154048064,205123.267460976,0.08947246800360346,0.5060706263587865
2007-07-01,2007,Q3,3,130.85849415793436,212617.398215213,0.0365347668599448,0.39955605430555313
2007-10-01,2007,Q4,4,124.8004715098619,202774.391675588,-0.04629445483883515,0.19143457818912513
2008-01-01,2008,Q1,1,115.5353657794423,187720.552891434,-0.07423934876469959,-0.002958676579484456
2008-04-01,2008,Q2,2,108.2448751408726,175875.04632909902,-0.06310180947093981,-0.14258851028414346
2008-07-01,2008,Q3,3,97.89542714751495,159059.380525582,-0.09561143638337254,-0.2518985658709779
2008-10-01,2008,Q4,4,89.56536095953928,145524.783392664,-0.08509147394007904,-0.282331549905549
2009-01-01,2009,Q1,1,81.65331221389509,132669.37626242096,-0.08833826672365463,-0.29326131732017235
2009-04-01,2009,Q2,2,82.40975335925562,133898.433262232,0.009264059532318654,-0.23867293253370658
2009-07-01,2009,Q3,3,82.62834573771453,134253.599681322,0.002652506160356774,-0.15595295770858666
2009-10-01,2009,Q4,4,82.703938804115,134376.42243887097,9.148563453082527e-4,-0.07660798864556459
2010-01-01,2010,Q1,1,79.03900474066926,128421.67910933403,-0.04431389987514585,-0.03201716381544353
2010-04-01,2010,Q2,2,78.34785162550841,127298.701361046,-0.008744456201448267,-0.04928908980032768
2010-07-01,2010,Q3,3,76.97832136582946,125073.50411677301,-0.01748012525250996,-0.06837876665012542
2010-10-01,2010,Q4,4,72.52351078236919,117835.37836963002,-0.057870975937359875,-0.1230948388789347
2011-01-01,2011,Q1,1,69.32517376991541,112638.75664034,-0.04410069200940157,-0.12289920657054564
2011-04-01,2011,Q2,2,68.2293114927992,110858.21203250198,-0.01580756624935826,-0.12914891631074196
2011-07-01,2011,Q3,3,67.04432189854722,108932.85436991301,-0.017367749554046658,-0.1290493127288681
2011-10-01,2011,Q4,4,65.159003522487,105869.610439859,-0.028120477956554275,-0.10154648031287167
2012-01-01,2012,Q1,1,60.9891078125592,99094.4111501315,-0.0639956949078991,-0.12024587179576258
2012-04-01,2012,Q2,2,61.14931590666676,99354.71544570939,0.0026268312466536685,-0.10376765397786039
2012-07-01,2012,Q3,3,59.45961064146922,96609.3014811925,-0.027632447561254235,-0.11312980789865155
2012-10-01,2012,Q4,4,58.038946958393765,94301.0232301087,-0.023892919374158036,-0.10927202963802282
2013-01-01,2013,Q1,1,56.74693619524904,92201.7787852327,-0.022261099328196362,-0.06955621699448086
2013-04-01,2013,Q2,2,57.795933173232385,93906.17718618982,0.01848552623835165,-0.05483925181685921
2013-07-01,2013,Q3,3,58.923105552540065,95737.59409321309,0.019502624448145756,-0.009023017190007906
2013-10-01,2013,Q4,4,59.33941503294812,96414.00901871161,0.007065301064908087,0.022406817192713983
2014-01-01,2014,Q1,1,60.324215239858766,98014.1012336077,0.01659605519137389,0.0630391574322425
2014-04-01,2014,Q2,2,62.339804034002924,101289.00706253701,0.0334125986741784,0.07861921438574485
2014-07-01,2014,Q3,3,63.55450042235985,103262.631987504,0.019485085126260217,0.07860065803371655
2014-10-01,2014,Q4,4,64.5060656892874,104808.72444858601,0.014972429341805732,0.08706945718070365
2015-01-01,2015,Q1,1,64.61673605209612,104988.540399789,0.0017156582350223548,0.07115750773001517
2015-04-01,2015,Q2,2,66.5971729454639,108206.33181873201,0.030648977561650408,0.06829294665634195
2015-07-01,2015,Q3,3,68.56319297662952,111400.69888336399,0.029521073406157814,0.0788094080038981
2015-10-01,2015,Q4,4,69.16886863271952,112384.793824918,0.00883383094915738,0.072284720725209
2016-01-01,2016,Q1,1,69.22433758990198,112474.91915788701,8.01935296599841e-4,0.0713066276527967
2016-04-01,2016,Q2,2,71.78620084356034,116637.40553739999,0.037008129551709394,0.07791663922950169
2016-07-01,2016,Q3,3,72.64900478440752,118039.27960184801,0.012019077910634201,0.0595919126632666
2016-10-01,2016,Q4,4,72.84038364913825,118350.229812259,0.0026342943760710403,0.05308045496470585
2017-01-01,2017,Q1,1,72.68118630953501,118091.567779144,-0.0021855642656973032,0.04993689849532476
2017-04-01,2017,Q2,2,74.07481482501738,120355.91959632799,0.019174542770218198,0.031880973704744395
2017-07-01,2017,Q3,3,75.06463450538452,121964.16739480701,0.01336243205879525,0.03325069253385637
2017-10-01,2017,Q4,4,75.48602208631351,122648.833160479,0.005613663261076243,0.03632103930038217
2018-01-01,2018,Q1,1,75.8880825019512,123302.09636703199,0.005326289616612214,0.04412278273442937
2018-04-01,2018,Q2,2,76.9384179416575,125008.669485427,0.013840584780611584,0.03865825548676218
2018-07-01,2018,Q3,3,78.40869145982639,127397.553234314,0.01910974461788116,0.04454903399552279
2018-10-01,2018,Q4,4,79.65781854225776,129427.12076079202,0.01593097728293778,0.05526581399631921
2019-01-01,2019,Q1,1,78.8830639136432,128168.30822094702,-0.009726033712604857,0.03946576738995862
2019-04-01,2019,Q2,2,79.77204843571145,129612.72019704401,0.011269650010570923,0.036829851326065664
2019-07-01,2019,Q3,3,81.44808833101844,132335.93082344,0.02101036551239763,0.03876351989306344
2019-10-01,2019,Q4,4,81.62506467395869,132623.47997967803,0.002172872888323532,0.02469620895602766
2020-01-01,2020,Q1,1,81.96347382385316,133173.32333104598,0.004145897479483881,0.03905033295337295
2020-04-01,2020,Q2,2,82.03265929935942,133285.73510753002,8.441013085285415e-4,0.028338383029862926
2020-07-01,2020,Q3,3,83.71110351644965,136012.85224871003,0.020460682750331582,0.027784755072874742
2020-10-01,2020,Q4,4,85.89620776478725,139563.18486639895,0.026102920121082993,0.05232636700367854
2021-01-01,2021,Q1,1,86.83379952342763,141086.57332958604,0.010915403404162175,0.05942068426774139
2021-04-01,2021,Q2,2,89.88514278485768,146044.361278175,0.035140040838669055,0.09572386842711526
2021-07-01,2021,Q3,3,92.66597199884752,150562.62106837097,0.030937584653404075,0.10697348507224246
2021-10-01,2021,Q4,4,92.65171731770658,150539.460224009,-1.538286474901228e-4,0.07864735508950751
2022-01-01,2022,Q1,1,95.44969600482781,155085.584283785,0.03019888641164464,0.0992228432786202
2022-04-01,2022,Q2,2,98.6057614103409,160213.523585205,0.03306522218104767,0.09701957804479705
2022-07-01,2022,Q3,3,102.39046535461588,166362.867659694,0.03838217858817805,0.10494136246570966
2022-10-01,2022,Q4,4,102.00027341551672,165728.88821931,-0.003810822987743923,0.10089997647591943
2023-01-01,2023,Q1,1,100,162478.866643997,-0.01961047111480023,0.04767227330867595
2023-04-01,2023,Q2,2,101.2977289772377,164587.401978323,0.012977289772376964,0.02730030708544869
2023-07-01,2023,Q3,3,104.46059654915585,169726.39336262597,0.03122347957700882,0.020218007481168695
2023-10-01,2023,Q4,4,103.49496677610676,168157.449051399,-0.009243961885615815,0.014653817196167134
2024-01-01,2024,Q1,1,104.05041145210137,169059.92926578998,0.005366876219171264,0.04050411452101372
2024-04-01,2024,Q2,2,107.96372694051675,175418.239919571,0.03760980311180063,0.06580599615196654
2024-07-01,2024,Q3,3,111.07119978208692,180467.22657382398,0.028782563640862933,0.06328322306507535
2024-10-01,2024,Q4,4,112.21128771943958,182319.62853318,0.010264478456966566,0.08421975691039209
2025-01-01,2025,Q1,1,113.44357398485216,184321.833291032,0.01098183872992931,0.09027511185839805
2025-04-01,2025,Q2,2,114.14122817932846,185455.373919311,0.006149790331618572,0.05721830297888147
2025-07-01,2025,Q3,3,118.89453114863943,193178.48671200295,0.0416440496140711,0.07043528279068992
2025-10-01,2025,Q4,4,120.59144280538546,195935.609539834,0.01427241135779897,0.07468192600105139
