quarter_start_date,year,quarter,quarter_num,ni_house_price_index,standardised_price,quarterly_change_decimal,annual_change_decimal,housing_value,housing_regime,is_high_cost_pressure,housing_lag3,housing_lag4,housing_diff_1q,housing_diff_4q,housing_volatility_4q
2005-01-01,2005,Q1,1,65.18769406048092,105916.226500825,NA,NA,105916.226500825,Low_Cost,0,NA,NA,NA,NA,NA
2005-04-01,2005,Q2,2,67.56627236463876,109780.91357166096,0.03648814915819854,NA,109780.91357166096,Low_Cost,0,NA,NA,3864.687070835964,NA,NA
2005-07-01,2005,Q3,3,71.8660876956208,116767.204789226,0.06363848678490036,NA,116767.204789226,Low_Cost,0,NA,NA,6986.291217565042,NA,NA
2005-10-01,2005,Q4,4,74.36350147867195,120824.974399338,0.03475093556822803,NA,120824.974399338,Medium_Cost,0,105916.226500825,NA,4057.7696101119946,NA,6721.826008255109
2006-01-01,2006,Q1,1,76.47657517979955,124258.272600282,0.028415468060412,0.17317503375475815,124258.272600282,Medium_Cost,0,109780.91357166096,105916.226500825,3433.298200944002,18342.046099457002,6223.2266328170745
2006-04-01,2006,Q2,2,83.82483485897654,136197.64164506705,0.0960851039929669,0.2406313375791144,136197.64164506705,Medium_Cost,0,116767.204789226,109780.91357166096,11939.369044785053,26416.72807340609,8370.476069393651
2006-07-01,2006,Q3,3,93.50000220095876,151917.74388823003,0.11542125144963668,0.30103092013253163,151917.74388823003,High_Cost,1,120824.974399338,116767.204789226,15720.102243162983,35150.53909900403,14052.233656747076
2006-10-01,2006,Q4,4,104.74806908789532,170193.475485483,0.1203001777771213,0.40859517108588417,170193.475485483,High_Cost,1,124258.272600282,120824.974399338,18275.731597252976,49368.501086145014,19904.937510737698
2007-01-01,2007,Q1,1,115.87821193115556,188277.60543307,0.10625630563099736,0.5152118365489189,188277.60543307,High_Cost,1,136197.64164506705,124258.272600282,18084.129947587004,64019.332832788015,22542.993394357123
2007-04-01,2007,Q2,2,126.24612154048064,205123.267460976,0.08947246800360346,0.5060706263587865,205123.267460976,High_Cost,1,151917.74388823003,136197.64164506705,16845.662027905986,68925.62581590895,22945.17394463676
2007-07-01,2007,Q3,3,130.85849415793436,212617.398215213,0.0365347668599448,0.39955605430555313,212617.398215213,High_Cost,1,170193.475485483,151917.74388823003,7494.130754237005,60699.65432698297,18884.03024777864
2007-10-01,2007,Q4,4,124.8004715098619,202774.391675588,-0.04629445483883515,0.19143457818912513,202774.391675588,High_Cost,1,188277.60543307,170193.475485483,-9843.006539625,32580.916190104996,10185.457951385217
2008-01-01,2008,Q1,1,115.5353657794423,187720.552891434,-0.07423934876469959,-0.00295867657948445,187720.552891434,High_Cost,1,205123.267460976,188277.60543307,-15053.83878415401,-557.0525416360178,10439.865239233652
2008-04-01,2008,Q2,2,108.2448751408726,175875.04632909902,-0.06310180947093981,-0.14258851028414346,175875.04632909902,High_Cost,1,212617.398215213,205123.267460976,-11845.50656233498,-29248.221131876984,16220.478247330855
2008-07-01,2008,Q3,3,97.89542714751497,159059.380525582,-0.09561143638337254,-0.2518985658709779,159059.380525582,High_Cost,1,202774.391675588,212617.398215213,-16815.66580351701,-53558.017689631,18497.163038272243
2008-10-01,2008,Q4,4,89.56536095953928,145524.783392664,-0.08509147394007904,-0.282331549905549,145524.783392664,Medium_Cost,0,187720.552891434,202774.391675588,-13534.597132918017,-57249.60828292402,18550.27445208793
2009-01-01,2009,Q1,1,81.65331221389509,132669.37626242096,-0.08833826672365463,-0.29326131732017235,132669.37626242096,Medium_Cost,0,175875.04632909902,187720.552891434,-12855.407130243024,-55051.17662901303,18519.166062220753
2009-04-01,2009,Q2,2,82.40975335925562,133898.433262232,0.00926405953231865,-0.23867293253370656,133898.433262232,Medium_Cost,0,159059.380525582,175875.04632909902,1229.0569998110295,-41976.61306686702,12297.137209860453
