quarter_start_date,year,quarter,quarter_num,quarterly_births,emp_rate,emp_at_conception,emp_momentum_lag3,emp_volatility_lag3,emp_regime_at_conception,is_emp_peak_at_conception,he_pct,fe_pct,total_girls,he_at_conception,fe_at_conception,is_edu_covid_grading,ni_house_price_index,standardised_price,quarterly_change_decimal,annual_change_decimal,housing_value,housing_regime,is_high_cost_pressure,housing_lag3,housing_lag4,housing_diff_1q,housing_diff_4q,housing_volatility_4q
2007-10-01,2007,Q4,4,6236,61.6,62.6,1.6000000000000014,0.6946221994724913,Low_Intensity,0,45.8,29.8,12147,44.8,30.35,0,124.8004715098619,202774.391675588,-0.04629445483883515,0.19143457818912513,202774.391675588,High_Cost,1,188277.60543307,170193.475485483,-9843.006539625,32580.916190104996,10185.457951385217
2008-01-01,2008,Q1,1,6224,62,62,0.20000000000000284,0.7041543391425881,Low_Intensity,0,46.3,29.8,12083,45.05,30.075,0,115.5353657794423,187720.552891434,-0.07423934876469959,-0.00295867657948445,187720.552891434,High_Cost,1,205123.267460976,188277.60543307,-15053.83878415401,-557.0525416360178,10439.865239233652
2008-04-01,2008,Q2,2,6238,62.3,61.7,0.8000000000000043,0.403112887414928,Low_Intensity,0,46.8,29.8,12019,45.3,29.8,0,108.2448751408726,175875.04632909902,-0.06310180947093981,-0.14258851028414346,175875.04632909902,High_Cost,1,212617.398215213,205123.267460976,-11845.50656233498,-29248.221131876984,16220.478247330857
2008-07-01,2008,Q3,3,6533,62.7,61.6,-0.19999999999999576,0.4499999999999997,Low_Intensity,0,47.3,29.8,11955,45.8,29.8,0,97.89542714751497,159059.380525582,-0.09561143638337254,-0.2518985658709779,159059.380525582,High_Cost,1,202774.391675588,212617.398215213,-16815.66580351701,-53558.017689631,18497.163038272243
2008-10-01,2008,Q4,4,6442,61.7,62,-0.6000000000000014,0.20615528128088192,Low_Intensity,0,47.675,30.475,11884,46.3,29.8,0,89.56536095953928,145524.783392664,-0.08509147394007904,-0.282331549905549,145524.783392664,Medium_Cost,0,187720.552891434,202774.391675588,-13534.597132918016,-57249.60828292402,18550.27445208793
2009-01-01,2009,Q1,1,6091,59.8,62.3,0.29999999999999716,0.31622776601683567,Low_Intensity,0,48.05,31.15,11813,46.8,29.8,0,81.65331221389509,132669.37626242096,-0.08833826672365463,-0.29326131732017235,132669.37626242096,Medium_Cost,0,175875.04632909902,187720.552891434,-12855.407130243024,-55051.17662901303,18519.166062220753
2009-04-01,2009,Q2,2,6211,59.2,62.7,1,0.4654746681256316,Low_Intensity,0,48.425,31.825,11742,47.3,29.8,0,82.40975335925562,133898.433262232,0.00926405953231865,-0.23867293253370656,133898.433262232,Medium_Cost,0,159059.380525582,175875.04632909902,1229.0569998110295,-41976.61306686702,12297.137209860452
2009-07-01,2009,Q3,3,6366,60.1,61.7,0.10000000000000142,0.4272001872658764,Low_Intensity,0,48.8,32.5,11671,47.675,30.475,0,82.62834573771453,134253.599681322,0.00265250616035677,-0.15595295770858666,134253.599681322,Medium_Cost,0,145524.783392664,159059.380525582,355.16641909000464,-24805.780844260007,5997.357614188299
2009-10-01,2009,Q4,4,6277,60.8,59.8,-2.200000000000003,1.2841988423397177,Low_Intensity,0,48.7,32.65,11614.25,48.05,31.15,0,82.703938804115,134376.42243887097,9.148563453082528e-4,-0.07660798864556459,134376.42243887097,Medium_Cost,0,132669.37626242096,145524.783392664,122.82275754897272,-11148.360953793015,780.1737982824039
2010-01-01,2010,Q1,1,6176,61.3,59.2,-3.0999999999999943,1.6299284237863547,Low_Intensity,0,48.599999999999994,32.8,11557.5,48.425,31.825,0,79.03900474066926,128421.67910933404,-0.04431389987514585,-0.03201716381544353,128421.67910933404,Medium_Cost,0,133898.433262232,132669.37626242096,-5954.7433295369265,-4247.69715308692,2884.365961494411
