model,mean_mae,mean_rmse,mean_mape,mean_smape
Stage 2 ARIMAX: raw_plus_diff_4q,132.60433414615122,151.62215668175367,2.5263896364294722,2.50497573201372
Stage 2 ARIMAX: raw_plus_housing_lag4,132.60861648972545,151.6227690982242,2.526502453977161,2.5050785560452926
Additional ARIMAX: conception_plus_lag4,134.42681068459615,151.18023690968687,2.6004409298441344,2.558324157375762
Stage 2 ARIMAX (agreed predictors),138.32149344910084,153.37234867331168,2.6731429619022236,2.6324421665252102
Stage 2 ARIMAX: raw_plus_housing_lag3,141.52282118353315,162.3039923171289,2.6977520905482018,2.6711118166035708
Stage 1 ARIMAX (raw predictors),149.08468536060823,169.49830815880756,2.8410809371890156,2.8091001706116616
Stage 2 ARIMAX: raw_only,149.08468536060823,169.49830815880756,2.8410809371890156,2.8091001706116616
Additional ARIMAX: conception_plus_edu_lag4,151.07496467764562,174.93087170710265,2.9353033972250193,2.883110991548264
Stage 2 ARIMAX: raw_plus_diff_1q,160.5403205850856,182.09227572374792,3.0523807300991246,3.015470262890303
Baseline quarterly ARIMA,163.14063396039919,185.42338288770165,3.1394526251745587,3.1005652941384336
Additional ARIMAX: conception_plus_edu_diff4,164.93996434191664,186.65835219401748,3.17113173417202,3.1403427685132077
