"Title","LFS: Employment rate: Northern Ireland: Aged 16-64: Female: %: SA"
"CDID","LF62"
"Source dataset ID","LMS"
"PreUnit",""
"Unit","%"
"Release date","17-02-2026"
"Next release","19 March 2026"
"Important notes",
"1992","54.2"
"1993","51.7"
"1994","52.0"
"1995","55.0"
"1996","56.0"
"1997","57.9"
"1998","57.2"
"1999","57.9"
"2000","57.2"
"2001","58.0"
"2002","58.6"
"2003","59.1"
"2004","59.2"
"2005","60.8"
"2006","61.4"
"2007","62.0"
"2008","62.2"
"2009","60.0"
"2010","61.4"
"2011","63.1"
"2012","63.3"
"2013","62.8"
"2014","63.9"
"2015","63.0"
"2016","65.4"
"2017","65.2"
"2018","66.7"
"2019","68.5"
"2020","65.8"
"2021","67.7"
"2022","67.3"
"2023","68.7"
"2024","69.5"
"2025","67.7"
"1992 Q2","54.3"
"1992 Q3","53.5"
"1992 Q4","52.5"
"1993 Q1","52.0"
"1993 Q2","51.6"
"1993 Q3","51.7"
"1993 Q4","51.5"
"1994 Q1","52.0"
"1994 Q2","52.0"
"1994 Q3","52.0"
"1994 Q4","52.0"
"1995 Q1","52.8"
"1995 Q2","54.6"
"1995 Q3","56.0"
"1995 Q4","56.6"
"1996 Q1","56.9"
"1996 Q2","55.6"
"1996 Q3","56.3"
"1996 Q4","55.2"
"1997 Q1","57.4"
"1997 Q2","58.5"
"1997 Q3","58.4"
"1997 Q4","57.4"
"1998 Q1","56.9"
"1998 Q2","57.4"
"1998 Q3","56.6"
"1998 Q4","57.8"
"1999 Q1","58.6"
"1999 Q2","57.9"
"1999 Q3","57.4"
"1999 Q4","57.8"
"2000 Q1","57.5"
"2000 Q2","56.3"
"2000 Q3","57.3"
"2000 Q4","57.8"
"2001 Q1","56.6"
"2001 Q2","57.7"
"2001 Q3","59.2"
"2001 Q4","58.4"
"2002 Q1","58.3"
"2002 Q2","59.0"
"2002 Q3","58.3"
"2002 Q4","58.8"
"2003 Q1","60.4"
"2003 Q2","59.7"
"2003 Q3","58.5"
"2003 Q4","57.7"
"2004 Q1","59.0"
"2004 Q2","58.3"
"2004 Q3","58.3"
"2004 Q4","61.0"
"2005 Q1","60.3"
"2005 Q2","60.8"
"2005 Q3","61.9"
"2005 Q4","60.1"
"2006 Q1","61.0"
"2006 Q2","61.8"
"2006 Q3","60.9"
"2006 Q4","61.8"
"2007 Q1","62.6"
"2007 Q2","62.0"
"2007 Q3","61.7"
"2007 Q4","61.6"
"2008 Q1","62.0"
"2008 Q2","62.3"
"2008 Q3","62.7"
