Sex Code,Sex Label,Economic Activity - 4 Categories Code,Economic Activity - 4 Categories Label,Age - 19 Categories Code,Age - 19 Categories Label,Count
1,Female,1,Economically active: In employment (including full-time students),1,0-4 years,0
1,Female,1,Economically active: In employment (including full-time students),2,5-9 years,0
1,Female,1,Economically active: In employment (including full-time students),3,10-14 years,0
1,Female,1,Economically active: In employment (including full-time students),4,15-19 years,12496
1,Female,1,Economically active: In employment (including full-time students),5,20-24 years,35229
1,Female,1,Economically active: In employment (including full-time students),6,25-29 years,44789
1,Female,1,Economically active: In employment (including full-time students),7,30-34 years,49162
1,Female,1,Economically active: In employment (including full-time students),8,35-39 years,49658
1,Female,1,Economically active: In employment (including full-time students),9,40-44 years,47751
1,Female,1,Economically active: In employment (including full-time students),10,45-49 years,45651
1,Female,1,Economically active: In employment (including full-time students),11,50-54 years,46609
1,Female,1,Economically active: In employment (including full-time students),12,55-59 years,39488
1,Female,1,Economically active: In employment (including full-time students),13,60-64 years,24316
1,Female,1,Economically active: In employment (including full-time students),14,65-69 years,8093
1,Female,1,Economically active: In employment (including full-time students),15,70-74 years,2529
1,Female,1,Economically active: In employment (including full-time students),16,75-79 years,922
1,Female,1,Economically active: In employment (including full-time students),17,80-84 years,253
1,Female,1,Economically active: In employment (including full-time students),18,85-89 years,83
1,Female,1,Economically active: In employment (including full-time students),19,90+ years,53
1,Female,2,Economically active: Unemployed (including full-time students),1,0-4 years,0
1,Female,2,Economically active: Unemployed (including full-time students),2,5-9 years,0
1,Female,2,Economically active: Unemployed (including full-time students),3,10-14 years,0
1,Female,2,Economically active: Unemployed (including full-time students),4,15-19 years,3868
1,Female,2,Economically active: Unemployed (including full-time students),5,20-24 years,3100
1,Female,2,Economically active: Unemployed (including full-time students),6,25-29 years,1843
1,Female,2,Economically active: Unemployed (including full-time students),7,30-34 years,1541
1,Female,2,Economically active: Unemployed (including full-time students),8,35-39 years,1255
1,Female,2,Economically active: Unemployed (including full-time students),9,40-44 years,1114
1,Female,2,Economically active: Unemployed (including full-time students),10,45-49 years,1035
1,Female,2,Economically active: Unemployed (including full-time students),11,50-54 years,1120
1,Female,2,Economically active: Unemployed (including full-time students),12,55-59 years,1052
1,Female,2,Economically active: Unemployed (including full-time students),13,60-64 years,775
1,Female,2,Economically active: Unemployed (including full-time students),14,65-69 years,172
