Year,Higher_Education_Number,Higher_Education_Pct,Further_Education_Number,Further_Education_Pct,Total_Girls
2004/05,5649,45.6,3678,29.7,12375
2005/06,5528,44.3,3864,30.9,12491
2006/07,5537,45.3,3645,29.8,12211
2007/08,5651,47.3,3563,29.8,11955
2008/09,5696,48.8,3792,32.5,11671
2009/10,5540,48.4,3788,33.1,11444
2010/11,5462,48.3,3556,31.4,11313
2011/12,5521,49.5,3718,33.3,11153
2012/13,5477,48.7,3732,33.2,11255
2013/14,5295,48.1,3767,34.2,11004
2014/15,5509,50.2,3590,32.7,10968
2015/16,5625,50.3,3588,32.1,11184
2016/17,5521,51.1,3455,32,10798
2017/18,5262,50.7,3367,32.4,10381
2018/19,5240,49.2,3360,31.5,10660
2019/20,5685,55.8,2800,27.5,10195
2020/21,5930,56.3,2762,26.2,10527
2021/22,5785,51,3073,27.1,11347
2022/23,5561,49.1,3422,30.2,11319
2023/24,5624,48.1,3676,31.4,11689
